,experience,train,epoch,itrs,loss,accuracy
51,base_cnn_xavier_uniform,1,2,16000,1.5804985666275024,0
52,base_cnn_xavier_uniform,0,2,18000,1.3936898503005504,0
53,base_cnn_xavier_uniform,1,2,18000,1.5618502283096314,0
54,base_cnn_xavier_uniform,0,2,20000,1.3817344735264778,0
55,base_cnn_xavier_uniform,1,2,20000,1.6134193015098572,0
56,base_cnn_xavier_uniform,0,2,22000,1.4024325290173292,0
57,base_cnn_xavier_uniform,1,2,22000,1.613375096321106,0
58,base_cnn_xavier_uniform,0,2,24000,1.3662139519304037,0
59,base_cnn_xavier_uniform,1,2,24000,1.6290311956405639,0
60,base_cnn_xavier_uniform,0,2,26000,1.3585405594855546,0
61,base_cnn_xavier_uniform,1,2,26000,1.6114054799079895,0
62,base_cnn_xavier_uniform,0,2,28000,1.3793054696917535,0
63,base_cnn_xavier_uniform,1,2,28000,1.5425546646118165,0
64,base_cnn_xavier_uniform,0,2,30000,1.3721817657649518,0
65,base_cnn_xavier_uniform,1,2,30000,1.6452460980415344,0
66,base_cnn_xavier_uniform,0,2,32000,1.3710194416344166,0
67,base_cnn_xavier_uniform,1,2,32000,1.6080189967155456,0
68,base_cnn_xavier_uniform,0,2,34000,1.356784241527319,0
69,base_cnn_xavier_uniform,1,2,34000,1.5708193588256836,0
